Project,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
S1,6,2,3,1,5,6,3,6,1,4,6,1,2,1,4
S2,1,2,2,2,3,3,5,3,4,4,4,1,3,5,2
S3,5,6,6,6,6,6,3,5,4,3,6,2,6,6,5
S4,3,4,4,3,3,2,5,3,2,5,6,1,3,1,1
S5,1,6,3,6,5,5,5,5,4,5,6,6,4,5,3
S6,2,2,2,2,2,1,1,2,1,1,6,3,6,6,5
S7,3,3,6,1,4,6,1,2,1,5,2,3,5,3,1
S8,4,4,1,5,4,2,4,1,4,6,1,4,3,3,3
S9,6,5,2,3,3,4,5,4,3,5,3,3,6,2,6
S10,6,2,1,5,3,2,6,6,1,5,1,5,3,5,2
S11,4,1,4,1,5,2,2,4,6,2,5,5,4,1,6
S12,2,4,5,3,4,5,5,5,5,1,3,2,5,5,6
S13,3,5,1,2,5,1,6,2,2,1,2,2,4,3,5
S14,2,3,5,1,2,6,6,4,1,1,1,2,1,2,6
S15,5,5,3,2,4,4,5,1,6,4,4,5,5,2,1
S16,1,1,1,6,5,6,4,4,3,3,4,1,4,6,3
S17,4,1,3,4,5,5,3,6,3,3,2,3,3,5,4
S18,1,6,5,1,4,2,6,5,4,1,4,5,5,1,5
S19,4,4,2,4,3,5,6,2,1,4,3,2,5,2,2
S20,1,3,3,2,4,4,6,2,5,1,1,6,2,3,2
S21,2,3,5,1,3,2,2,3,5,3,3,5,2,1,2
S22,3,6,4,6,5,3,6,1,3,1,4,5,5,5,1
S23,3,2,2,2,6,2,5,5,5,4,6,3,6,4,5
S24,3,1,2,4,1,5,5,6,4,3,4,6,1,3,1
S25,4,1,3,6,3,3,5,2,2,6,4,3,4,6,1
S26,2,1,2,1,2,3,4,1,1,4,1,6,4,5,6
S27,2,3,1,4,3,1,6,6,2,6,1,6,2,5,3
S28,5,4,1,2,3,3,1,6,1,5,4,2,2,2,6
S29,5,1,3,3,2,2,2,4,5,2,1,1,2,2,6
S30,4,6,2,5,5,2,6,1,2,1,2,4,5,2,1
S31,2,5,3,3,5,6,6,6,6,4,2,2,1,5,3
S32,3,3,1,2,5,3,6,6,2,2,4,4,4,6,3
S33,4,4,4,5,5,4,5,4,2,5,2,6,4,4,2
S34,5,2,2,6,5,2,6,6,6,4,4,3,2,6,4
S35,6,3,3,1,4,1,4,3,5,4,3,6,1,4,5
S36,3,3,4,2,6,3,3,4,4,3,5,2,4,4,2
S37,3,3,6,3,1,2,1,4,6,3,1,4,1,5,5
S38,4,6,5,5,3,6,6,1,3,6,6,2,5,4,4
S39,1,6,6,2,4,1,2,4,4,3,2,5,2,4,5
S40,2,2,4,6,1,6,5,1,1,5,3,5,5,6,4
S41,3,2,4,2,5,4,5,1,4,2,1,1,3,1,1
S42,5,2,4,3,1,5,3,6,6,6,2,1,6,5,5
S43,5,2,5,2,4,6,4,2,1,4,4,3,1,4,1
S44,2,3,6,1,2,3,3,3,2,4,1,3,6,4,1
S45,4,5,6,5,4,4,5,1,4,1,6,1,2,1,6
S46,4,5,3,2,3,4,2,1,4,6,2,4,3,3,2
S47,2,5,2,1,3,2,3,4,6,2,1,1,3,5,6
S48,5,4,4,6,6,1,1,2,2,3,4,6,5,2,3
S49,4,4,4,1,5,5,5,5,1,1,3,6,2,6,5
S50,1,6,5,1,2,4,2,2,3,2,5,5,6,1,2
S51,4,5,2,5,1,2,4,2,1,2,1,6,4,1,6
S52,6,3,6,1,3,2,2,5,5,1,3,3,1,2,3
S53,1,6,5,1,2,6,5,3,4,2,3,3,3,3,6
S54,2,3,5,2,2,1,3,1,5,6,1,5,2,1,3
S55,1,3,3,5,2,4,5,5,2,3,6,4,1,3,5
S56,4,1,1,1,6,6,4,5,6,2,6,6,4,6,3
S57,1,6,3,5,4,3,3,2,2,2,2,1,1,2,5
S58,2,2,1,2,3,1,2,2,3,5,4,5,6,5,3
S59,3,4,3,4,1,4,2,4,2,4,6,6,2,1,6
S60,1,5,4,4,5,2,1,5,6,1,4,3,4,4,4
S61,1,4,2,6,4,4,1,6,1,3,6,5,5,6,1
S62,3,1,4,2,1,4,1,3,2,4,1,2,2,2,6
S63,3,3,2,1,4,5,6,4,2,5,6,1,4,5,1
S64,5,4,4,5,2,6,2,5,5,4,1,2,2,4,6
S65,3,6,3,6,5,1,6,5,3,2,1,1,5,3,6
S66,1,2,4,6,6,4,3,1,4,1,1,3,2,5,2
S67,3,3,6,2,2,1,1,2,6,2,2,6,1,5,6
S68,1,3,6,3,6,5,5,6,5,1,2,5,2,5,6
S69,3,5,6,3,3,2,4,1,1,3,6,6,6,6,6
S70,3,5,5,2,5,4,4,3,4,6,4,4,6,4,5
S71,6,4,4,6,2,4,3,2,5,3,1,6,5,1,2
S72,1,2,6,3,3,4,5,5,1,1,4,2,1,2,2
S73,2,1,2,6,3,2,5,4,6,3,3,1,3,1,3
S74,1,1,6,4,4,5,5,4,5,1,2,4,6,3,1
S75,4,6,5,2,1,2,5,6,4,4,3,4,1,3,1
S76,5,1,6,5,1,5,3,4,5,4,1,5,1,5,6
S77,1,5,5,2,3,4,4,3,4,1,3,6,6,6,1
S78,3,5,3,2,4,3,2,6,3,6,2,1,2,5,4
S79,3,4,2,4,2,4,6,3,6,3,5,4,3,2,4
S80,1,3,2,1,2,1,2,3,5,1,6,1,6,6,3
S81,2,5,1,5,3,3,2,5,3,1,4,4,2,2,6
S82,1,1,1,1,3,6,2,2,4,5,3,5,6,3,1
S83,6,1,5,6,1,2,3,1,6,2,3,4,5,5,1
S84,1,2,2,3,2,1,1,6,6,6,1,5,4,5,3
S85,4,5,5,3,6,6,1,6,5,5,2,2,6,1,6
S86,5,2,4,2,3,5,1,3,6,1,3,1,3,5,4
S87,1,3,5,6,5,2,5,4,3,3,4,2,5,5,3
S88,4,1,5,1,1,5,5,4,5,1,5,1,2,2,4
S89,3,5,6,4,4,3,2,1,3,2,3,6,5,1,4
S90,1,2,5,6,5,2,2,5,5,3,6,5,3,2,5
S91,3,6,4,1,1,5,4,5,2,3,5,1,5,5,3
S92,3,4,1,6,6,3,3,2,1,3,2,6,4,4,6
S93,4,3,3,3,6,6,6,2,4,6,3,3,2,5,5
S94,5,5,1,2,6,2,3,4,5,6,1,2,1,3,3
S95,4,5,1,4,3,5,5,5,5,6,2,3,3,2,5
S96,3,6,6,4,4,3,6,5,2,2,3,6,4,6,6
S97,3,2,5,4,3,2,6,6,4,6,5,4,4,5,3
S98,6,1,6,1,4,4,1,2,2,4,1,3,6,6,3
S99,1,2,6,6,1,6,2,3,5,5,4,6,6,1,5
S100,4,2,3,3,3,4,6,3,3,3,5,5,3,2,6
S101,4,5,6,2,5,4,2,2,3,1,3,1,1,3,4
S102,1,6,3,3,6,2,3,4,1,1,3,2,3,3,5
